year	president_party	public_polarization	scotus_polarization
1866	R	0.156477	1.000000
1867	R	0.272700	1.000000
1868	R	0.324296	1.000000
1869	R	0.378410	1.000000
1870	D	0.426075	0.777778
1871	D	0.507302	0.777778
1872	D	0.531249	0.555556
1873	D	0.574426	0.555556
1874	R	0.604431	0.555556
1875	R	0.620323	0.555556
1876	R	0.688333	0.555556
1877	R	0.669888	0.555556
1878	D	0.651348	0.333333
1879	D	0.600557	0.333333
1880	D	0.542758	0.333333
1881	D	0.621327	0.333333
1882	R	0.644783	0.333333
1883	R	0.669282	0.333333
1884	R	0.608424	0.333333
1885	R	0.596443	0.333333
1886	D	0.599746	0.333333
1887	D	0.576930	0.333333
1888	D	0.571598	0.333333
1889	D	0.552185	0.333333
1890	R	0.530593	0.333333
1891	R	0.545197	0.333333
1892	R	0.587966	0.333333
1893	R	0.571806	0.333333
1894	D	0.554931	0.333333
1895	D	0.498955	0.111111
1896	D	0.490043	0.111111
1897	D	0.391999	0.111111
1898	R	0.393928	0.111111
1899	R	0.318337	0.111111
1900	R	0.227058	0.111111
1901	R	0.267604	0.111111
1902	D	0.235993	-0.111111
1903	D	0.159007	-0.111111
1904	D	0.081821	-0.111111
1905	D	-0.013361	-0.111111
1906	R	-0.064393	-0.111111
1907	R	0.017702	0.111111
1908	R	0.086154	0.333333
1909	R	0.128418	0.333333
1910	D	0.117353	0.333333
1911	D	0.150108	0.333333
1912	D	0.225142	0.333333
1913	D	0.272744	0.333333
1914	R	0.284275	0.333333
1915	R	0.331178	0.555556
1916	R	0.389979	0.777778
1917	R	0.469210	0.777778
1918	D	0.510138	0.555556
1919	D	0.548701	0.555556
1920	D	0.576526	0.333333
1921	D	0.580483	0.333333
1922	R	0.585048	0.333333
1923	R	0.525216	0.333333
1924	R	0.573336	0.333333
1925	R	0.600173	0.555556
1926	D	0.620657	0.555556
1927	D	0.675195	0.555556
1928	D	0.663182	0.555556
1929	D	0.551851	0.333333
1930	R	0.520563	0.333333
1931	R	0.518794	0.333333
1932	R	0.479407	0.333333
1933	R	0.486738	0.333333
1934	D	0.426010	0.111111
1935	D	0.341833	0.111111
1936	D	0.347868	0.111111
1937	D	0.352734	0.111111
1938	R	0.370474	0.333333
1939	R	0.350416	0.333333
1940	R	0.356716	0.333333
1941	R	0.396889	0.333333
1942	D	0.447196	0.333333
1943	D	0.442531	0.333333
1944	D	0.395056	0.333333
1945	D	0.450363	0.333333
1946	R	0.420279	0.333333
1947	R	0.450663	0.555556
1948	R	0.548276	0.777778
1949	R	0.544907	0.777778
1950	D	0.590245	0.777778
1951	D	0.543279	0.555556
1952	D	0.493087	0.333333
1953	D	0.480901	0.333333
1954	R	0.441582	0.333333
1955	R	0.422272	0.333333
1956	R	0.400662	0.333333
1957	R	0.388088	0.333333
1958	D	0.420365	0.333333
1959	D	0.440089	0.333333
1960	D	0.474120	0.333333
1961	D	0.390698	0.111111
1962	R	0.419695	0.333333
1963	R	0.415285	0.333333
1964	R	0.439845	0.333333
1965	R	0.468822	0.333333
1966	D	0.425361	0.333333
1967	D	0.398744	0.111111
1968	D	0.329763	-0.111111
1969	D	0.227594	-0.333333
1970	R	0.174662	-0.333333
1971	R	0.093262	-0.333333
1972	R	0.046829	-0.333333
1973	R	-0.030758	-0.333333
1974	D	-0.056449	-0.333333
1975	D	-0.061687	-0.333333
1976	D	-0.145241	-0.333333
1977	D	-0.161136	-0.333333
1978	R	-0.141951	-0.111111
1979	R	-0.103098	-0.111111
1980	R	-0.095797	-0.111111
1981	R	-0.100499	-0.111111
1982	D	-0.161303	-0.333333
1983	D	-0.219850	-0.555556
1984	D	-0.352595	-0.777778
1985	D	-0.444177	-0.777778
1986	R	-0.515761	-0.777778
1987	R	-0.562848	-0.777778
1988	R	-0.567530	-0.777778
1989	R	-0.623624	-0.777778
1990	D	-0.680326	-0.777778
1991	D	-0.725356	-0.777778
1992	D	-0.769873	-0.777778
1993	D	-0.765569	-0.777778
1994	R	-0.788592	-0.777778
1995	R	-0.802013	-0.777778
1996	R	-0.817485	-0.777778
1997	R	-0.803966	-0.777778
1998	D	-0.799636	-0.777778
1999	D	-0.857284	-0.777778
2000	D	-0.858006	-0.777778
2001	D	-0.823944	-0.777778
2002	R	-0.803767	-0.777778
2003	R	-0.759543	-0.333333
2004	R	-0.723956	-0.333333
2005	R	-0.671598	-0.111111
2006	D	-0.662401	-0.333333
2007	D	-0.634512	-0.333333
2008	D	-0.556046	-0.333333
2009	D	-0.569591	-0.555556
2010	R	-0.588912	-0.555556
2011	R	-0.561246	-0.333333
2012	R	-0.607636	-0.333333
2013	R	-0.532916	-0.333333
2014	D	-0.463825	-0.333333
2015	D	-0.447630	-0.333333
2016	D	-0.478580	-0.333333
2017	D	-0.450043	-0.333333
2018	R	-0.427257	-0.333333
2019	R	-0.433048	-0.333333
2020	R	-0.471975	-0.333333
2021	R	-0.466524	-0.111111
2022	D	-0.349415	-0.111111
2023	D	-0.285847	-0.111111
2024	D	-0.208397	-0.111111
2025	D	-0.225015	-0.111111
