year	president_party	public_polarization	scotus_polarization
1866	R	0.131450	1.000000
1867	R	0.242317	1.000000
1868	R	0.338402	1.000000
1869	R	0.444474	1.000000
1870	D	0.509747	1.000000
1871	D	0.524137	1.000000
1872	D	0.591258	1.000000
1873	D	0.630322	1.000000
1874	R	0.665037	1.000000
1875	R	0.704530	1.000000
1876	R	0.741592	1.000000
1877	R	0.801032	1.000000
1878	D	0.836348	1.000000
1879	D	0.849984	1.000000
1880	D	0.836109	1.000000
1881	D	0.816025	1.000000
1882	R	0.836784	1.000000
1883	R	0.886371	1.000000
1884	R	0.890437	1.000000
1885	R	0.889454	1.000000
1886	D	0.907761	1.000000
1887	D	0.863763	1.000000
1888	D	0.589058	-1.000000
1889	D	0.379638	-1.000000
1890	R	0.213122	-1.000000
1891	R	0.038163	-1.000000
1892	R	-0.092036	-1.000000
1893	R	-0.206556	-1.000000
1894	D	-0.287875	-1.000000
1895	D	-0.413863	-1.000000
1896	D	-0.470508	-1.000000
1897	D	-0.581140	-1.000000
1898	R	-0.708339	-1.000000
1899	R	-0.756068	-1.000000
1900	R	-0.805904	-1.000000
1901	R	-0.794510	-1.000000
1902	D	-0.791178	-1.000000
1903	D	-0.844846	-1.000000
1904	D	-0.828470	-1.000000
1905	D	-0.870038	-1.000000
1906	R	-0.877892	-1.000000
1907	R	-0.890797	-1.000000
1908	R	-0.889517	-1.000000
1909	R	-0.867303	-1.000000
1910	D	-0.853827	-1.000000
1911	D	-0.851029	-1.000000
1912	D	-0.839648	-1.000000
1913	D	-0.835119	-1.000000
1914	R	-0.864433	-1.000000
1915	R	-0.892061	-1.000000
1916	R	-0.908123	-1.000000
1917	R	-0.892697	-1.000000
1918	D	-0.902068	-1.000000
1919	D	-0.832458	-1.000000
1920	D	-0.867940	-1.000000
1921	D	-0.906488	-1.000000
1922	R	-0.883232	-1.000000
1923	R	-0.843864	-1.000000
1924	R	-0.837886	-1.000000
1925	R	-0.822901	-1.000000
1926	D	-0.792448	-1.000000
1927	D	-0.812174	-1.000000
1928	D	-0.868809	-1.000000
1929	D	-0.890222	-1.000000
1930	R	-0.863874	-1.000000
1931	R	-0.913375	-1.000000
1932	R	-0.639591	1.000000
1933	R	-0.400283	1.000000
1934	D	-0.213936	1.000000
1935	D	-0.024364	1.000000
1936	D	0.132486	1.000000
1937	D	0.318027	1.000000
1938	R	0.424695	1.000000
1939	R	0.478481	1.000000
1940	R	0.525627	1.000000
1941	R	0.557608	1.000000
1942	D	0.638307	1.000000
1943	D	0.661328	1.000000
1944	D	0.695793	1.000000
1945	D	0.749676	1.000000
1946	R	0.751293	1.000000
1947	R	0.765561	1.000000
1948	R	0.731261	1.000000
1949	R	0.724869	1.000000
1950	D	0.734879	1.000000
1951	D	0.772892	1.000000
1952	D	0.828536	1.000000
1953	D	0.839473	1.000000
1954	R	0.857166	1.000000
1955	R	0.869402	1.000000
1956	R	0.907306	1.000000
1957	R	0.933783	1.000000
1958	D	0.937699	1.000000
1959	D	0.902488	1.000000
1960	D	0.929988	1.000000
1961	D	0.937694	1.000000
1962	R	0.969620	1.000000
1963	R	0.959052	1.000000
1964	R	1.000000	1.000000
1965	R	0.975006	1.000000
1966	D	1.000000	1.000000
1967	D	0.989226	1.000000
1968	D	0.961126	1.000000
1969	D	0.918876	1.000000
1970	R	0.912286	1.000000
1971	R	0.953915	1.000000
1972	R	0.971091	1.000000
1973	R	0.981866	1.000000
1974	D	0.899082	1.000000
1975	D	0.921321	1.000000
1976	D	0.664026	-1.000000
1977	D	0.412152	-1.000000
1978	R	0.195736	-1.000000
1979	R	0.030534	-1.000000
1980	R	-0.058072	-1.000000
1981	R	-0.216787	-1.000000
1982	D	-0.332875	-1.000000
1983	D	-0.377862	-1.000000
1984	D	-0.470340	-1.000000
1985	D	-0.546489	-1.000000
1986	R	-0.597354	-1.000000
1987	R	-0.680762	-1.000000
1988	R	-0.707822	-1.000000
1989	R	-0.773709	-1.000000
1990	D	-0.766869	-1.000000
1991	D	-0.787516	-1.000000
1992	D	-0.736657	-1.000000
1993	D	-0.753506	-1.000000
1994	R	-0.735282	-1.000000
1995	R	-0.799859	-1.000000
1996	R	-0.819317	-1.000000
1997	R	-0.822497	-1.000000
1998	D	-0.782523	-1.000000
1999	D	-0.851345	-1.000000
2000	D	-0.829697	-1.000000
2001	D	-0.823274	-1.000000
2002	R	-0.789548	-1.000000
2003	R	-0.785517	-1.000000
2004	R	-0.801899	-1.000000
2005	R	-0.833036	-1.000000
2006	D	-0.881298	-1.000000
2007	D	-0.879013	-1.000000
2008	D	-0.888684	-1.000000
2009	D	-0.830546	-1.000000
2010	R	-0.860067	-1.000000
2011	R	-0.857217	-1.000000
2012	R	-0.911477	-1.000000
2013	R	-0.922392	-1.000000
2014	D	-0.911971	-1.000000
2015	D	-0.886229	-1.000000
2016	D	-0.845623	-1.000000
2017	D	-0.855877	-1.000000
2018	R	-0.896785	-1.000000
2019	R	-0.884304	-1.000000
2020	R	-0.600376	1.000000
2021	R	-0.359798	1.000000
2022	D	-0.191065	1.000000
2023	D	0.007369	1.000000
2024	D	0.144673	1.000000
2025	D	0.279739	1.000000
